CODE_PRODUIT_STOCKAGE;CODE_SITE;CAPACITE_DE_STOCKAGE;PERIODE
CO0100;D001;1000.0;ETE
CO0100;D008;3668.0;ETE
CO0100;D010;1800.0;ETE
CO0100;D011;1500.0;ETE
CO0100;D012;8000.0;ETE
CO0100;D022;1600.0;ETE
CO0100;D026;14400.0;ETE
CO0100;D031;9000.0;ETE
CO0100;D052;2400.0;ETE
CO0100;D054;1500.0;ETE
CO0100;D061;53300.0;ETE
CO0100;D063;3000.0;ETE
CO0100;D077;6000.0;ETE
CO0100;D102;5600.0;ETE
CO0100;D107;1000.0;ETE
CO0100;D110;1000.0;ETE
CO0100;D111;3890.0;ETE
CO0100;D112;5100.0;ETE
CO0100;D114;1200.0;ETE
CO0100;D119;1000.0;ETE
CO0100;D128;500.0;ETE
CO0100;D153;1500.0;ETE
CO0100;D202;2500.0;ETE
CO0100;D205;1500.0;ETE
CO0100;D214;2200.0;ETE
CO0100;D300;208000.0;ETE
CO0100;D302;150000.0;ETE
CO0100;D303;31400.0;ETE
CO0100;D310;88000.0;ETE
CO0100;D314;117000.0;ETE
CO0100;D316;17600.0;ETE
CO0100;D402;2400.0;ETE
CO0100;D404;1650.0;ETE
CO0100;D411;2000.0;ETE
CO0100;D424;3000.0;ETE
CO0100;D490;4000.0;ETE
CO0100;D503;24270.0;ETE
CO0100;D508;10000.0;ETE
CO0100;D511;5400.0;ETE
CO0100;D512;4000.0;ETE
CO0100;D513;3500.0;ETE
CO0100;D519;270.0;ETE
CO0100;D601;1550.0;ETE
CO0100;D602;5800.0;ETE
CO0100;D604;22500.0;ETE
CO0100;D609;3200.0;ETE
CO0100;D620;2500.0;ETE
CO0100;D626;3300.0;ETE
CO0100;D631;19000.0;ETE
CO0100;D633;3600.0;ETE
CO0100;D641;7000.0;ETE
CO0100;D642;3200.0;ETE
CO0100;D643;5000.0;ETE
CO0100;D644;3200.0;ETE
CO0100;D645;3000.0;ETE
CO0100;D647;2600.0;ETE
CO0100;D651;17000.0;ETE
CO0100;D653;1500.0;ETE
CO0100;D657;3200.0;ETE
CO0100;D660;4500.0;ETE
CO0100;D661;1900.0;ETE
CO0100;D667;3000.0;ETE
CO0100;D669;2900.0;ETE
CO0100;D670;3050.0;ETE
CO0100;D672;600.0;ETE
CO0100;D674;2600.0;ETE
CO0100;D700;400.0;ETE
CO0100;D702;2500.0;ETE
CO0100;D704;1200.0;ETE
CO0133;D517;500.0;ETE
CO0133;D602;1200.0;ETE
CO0133;D657;2000.0;ETE
CO0133;D669;2900.0;ETE
CO0152;D153;2500.0;ETE
CO0152;D610;3000.0;ETE
CO0152;D620;3800.0;ETE
CO0152;D633;2400.0;ETE
CO0152;D643;1500.0;ETE
CO0152;D664;900.0;ETE
CO0152;D674;5200.0;ETE
CO0154;D633;800.0;ETE
CO0166;D022;1600.0;ETE
CO0166;D700;200.0;ETE
CO0175;D602;400.0;ETE
CO0178;D633;1950.0;ETE
CO0200;D062;7200.0;ETE
CO0200;D077;600.0;ETE
CO0200;D102;1600.0;ETE
CO0200;D107;1000.0;ETE
CO0200;D112;600.0;ETE
CO0200;D410;1950.0;ETE
CO0200;D490;1000.0;ETE
CO0200;D658;1800.0;ETE
