CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE;COUT_UNITAIRE;COUT_TRANSFERT
CO0501;D700;D707;180;7.06;1270.8
CO0501;D020;D631;42;3.43;144.06
CO0501;D404;D631;90;3.06;275.4
CO0501;D701;D707;46;5.2;239.2
CO0501;D702;D707;9;5.2;46.8
CO0501;D513;D638;16;9.24;147.84
CO0501;D742;D707;27;12.19;329.13
CO0501;D517;D638;6;5.2;31.2
CO0501;D615;D638;68;3.06;208.08
CO0501;D602;D638;32;3.43;109.76
CO0501;D673;D631;32;5.2;166.4
CO0501;D616;D638;7;4.24;29.68
CO0501;D677;D638;81;3.7;299.7
CO0501;D210;D638;3;11.63;34.89
CO0501;D645;D631;16;9.24;147.84
CO0501;D676;D638;34;3.06;104.04
CO0501;D627;D631;12;9.24;110.88
CO0501;D606;D638;60;4.52;271.2
CO0501;D685;D638;25;4.52;113.0
CO0501;D441;D631;236;7.06;1666.16
CO0501;D501;D638;99;8.9;881.1
CO0501;D710;D707;2;11.31;22.62
CO0501;D008;D638;37;9.24;341.88
CO0501;D625;D638;58;7.98;462.84
CO0501;D711;D707;23;7.06;162.38
CO0501;D613;D631;8;3.43;27.44
CO0501;D629;D638;474;7.98;3782.52
CO0501;D007;D631;46;3.7;170.2
CO0501;D049;D638;26;12.57;326.82
CO0504;D700;D707;47;7.06;331.82
CO0504;D624;D638;27;3.7;99.9
CO0504;D702;D707;46;5.2;239.2
CO0504;D009;D519;18;3.43;61.74
CO0504;D657;D631;190;4.52;858.8
CO0504;D742;D710;56;4.24;237.44
CO0504;D517;D519;73;3.7;270.1
CO0504;D602;D638;69;3.43;236.67
CO0504;D704;D707;10;5.2;52.0
CO0504;D053;D519;1502;3.7;5557.4
CO0504;D651;D631;44;6.7;294.8
CO0504;D514;D519;74;4.52;334.48
CO0504;D627;D638;162;4.24;686.88
CO0504;D611;D638;66;4.52;298.32
CO0504;D525;D519;39;3.06;119.34
CO0504;D014;D519;18;4.52;81.36
CO0504;D708;D519;48;9.24;443.52
CO0504;D661;D631;41;7.06;289.46
CO0504;D652;D631;238;7.06;1680.28
CO0504;D632;D631;118;3.43;404.74
CO0504;D709;D710;153;4.24;648.72
CO0504;D006;D631;16;3.43;54.88
CO0504;D679;D638;118;4.24;500.32
CO0504;D633;D631;63;3.06;192.78
CO0504;D625;D519;71;3.06;217.26
CO0504;D639;D638;40;3.06;122.4
CO0504;D439;D631;106;8.9;943.4
CO0504;D629;D638;418;7.98;3335.64
CO0504;D442;D631;51;7.98;406.98
CO0504;D628;D638;70;4.52;316.4
CO0502;D066;D022;44;8.9;391.6
CO0502;D524;D022;12;10.04;120.48
CO0502;D107;D022;26;6.7;174.2
CO0502;D700;D707;14;7.06;98.84
