CODE_PRODUIT_STOCKAGE;CODE_SITE;QUANTITE_A_STOCKER
CO0100;D010;600.0
CO0100;D026;49245.0
CO0100;D059;1330.0
CO0100;D143;18567.0
CO0100;D216;8422.0
CO0100;D300;105445.0
CO0100;D302;27833.0
CO0100;D316;26609.0
CO0100;D440;1636.0
CO0100;D503;66302.0
CO0100;D512;2498.0
CO0100;D626;3717.0
CO0100;D628;2521.0
CO0100;D631;29766.0
CO0100;D632;6717.0
CO0100;D639;14791.0
CO0100;D648;4168.0
CO0100;D651;10310.0
CO0100;D702;279.0
CO0100;D703;3051.0
CO0100;D710;6386.0
CO0133;D606;1971.0
CO0133;D608;1769.0
CO0133;D621;1879.0
CO0152;D006;2078.0
CO0152;D620;4556.0
CO0152;D643;3399.0
CO0154;D633;1474.0
CO0166;D022;727.0
CO0173;D631;6359.0
CO0173;D651;15696.0
CO0173;D660;3181.0
CO0175;D602;583.0
CO0175;D606;1479.0
CO0200;D062;12114.0
CO0200;D107;2375.0
CO0200;D143;8810.0
CO0200;D201;1038.0
CO0200;D216;2949.0
CO0200;D404;346.0
CO0200;D405;187.0
CO0200;D410;3193.0
CO0200;D424;5630.0
CO0200;D435;476.0
CO0200;D442;4879.0
CO0200;D462;1007.0
CO0200;D490;1506.0
CO0200;D603;3271.0
CO0200;D632;2017.0
CO0200;D658;2886.0
CO0501;D519;1580.0
CO0501;D631;1869.0
CO0501;D638;5358.0
CO0501;D707;1889.0
CO0501;D710;693.0
CO0502;D508;12.0
CO0502;D519;544.0
CO0502;D639;4586.0
CO0502;D707;180.0
CO0502;D710;11.0
CO0700;D008;1467.0
CO0700;D022;8274.0
CO0700;D102;1652.0
CO0700;D107;834.0
CO0700;D112;2358.0
CO0700;D201;5768.0
CO0700;D217;2213.0
CO0700;D435;561.0
CO0700;D462;437.0
CO0700;D490;2562.0
CO0700;D508;11662.0
CO0700;D602;3307.0
CO0700;D604;4473.0
CO0700;D605;1908.0
CO0700;D608;2148.0
CO0700;D614;398.0
CO0700;D631;1719.0
CO0700;D638;882.0
CO0700;D641;703.0
CO0700;D657;3039.0
CO0700;D707;2379.0
CO0700;D710;558.0
