CODE_PRODUIT_STOCKAGE;CODE_SITE;QUANTITE_A_STOCKER;CAPACITE_DE_STOCKAGE;PERIODE;RESTE_A_STOCKER
CO0100;D001;2875.7575;23820.0;ETE;-20944.2425
CO0100;D002;3059.1426;400.0;ETE;2659.1426
CO0100;D003;2139.314;240.0;ETE;1899.314
CO0100;D007;4041.4075;240.0;ETE;3801.4075
CO0100;D008;4076.062;105248.0;ETE;-101171.938
CO0100;D009;6246.122;180.0;ETE;6066.122
CO0100;D012;1281.6902;138960.0;ETE;-137678.3098
CO0100;D013;5108.72;;;
CO0100;D014;4689.5357;6300.0;ETE;-1610.4643
CO0100;D015;1420.863;;;
CO0100;D016;2985.067;360.0;ETE;2625.067
CO0100;D017;1489.0607;4940.0;ETE;-3450.9393
CO0100;D018;3132.156;240.0;ETE;2892.156
CO0100;D019;4827.553;47850.0;ETE;-43022.447
CO0100;D020;2639.107;7050.0;ETE;-4410.893
CO0100;D021;3927.892;11750.0;ETE;-7822.108
CO0100;D032;1398.158;;;
CO0100;D033;908.646;;;
CO0100;D037;1374.131;;;
CO0100;D038;1175.35;400.0;ETE;775.35
CO0100;D040;2572.879;150.0;ETE;2422.879
CO0100;D041;1615.5905;400.0;ETE;1215.5905
CO0100;D044;4332.226;140.0;ETE;4192.226
CO0100;D046;2030.2379;1800.0;ETE;230.2379
CO0100;D049;4799.505;400.0;ETE;4399.505
CO0100;D052;2974.665;28575.0;ETE;-25600.335
CO0100;D053;8026.45;9400.0;ETE;-1373.55
CO0100;D054;1878.959;30450.0;ETE;-28571.041
CO0100;D056;3306.046;100940.0;ETE;-97633.954
CO0100;D062;330.77;211200.0;ETE;-210869.23
CO0100;D065;2045.748;;;
CO0100;D066;579.42;;;
CO0100;D067;1755.101;;;
CO0100;D068;2694.15;200.0;ETE;2494.15
CO0100;D074;2769.9;400.0;ETE;2369.9
CO0100;D087;1015.15;;;
CO0100;D100;2341.579;9000.0;ETE;-6658.421
CO0100;D104;1397.818;;;
CO0100;D105;4401.149;12200.0;ETE;-7798.851
CO0100;D106;3133.127;;;
CO0100;D108;1661.7;;;
CO0100;D109;1106.506;7050.0;ETE;-5943.494
CO0100;D110;1025.672;23680.0;ETE;-22654.328
CO0100;D114;3106.936;24360.0;ETE;-21253.064
CO0100;D115;1398.9467;4200.0;ETE;-2801.0533
CO0100;D116;5083.8169;13800.0;ETE;-8716.1831
CO0100;D119;1177.956;23600.0;ETE;-22422.044
CO0100;D126;2281.716;;;
CO0100;D128;2523.746;23580.0;ETE;-21056.254
CO0100;D153;2773.6077;22500.0;ETE;-19726.3923
CO0100;D200;978.834;139850.0;ETE;-138871.166
CO0100;D204;3938.08;33230.0;ETE;-29291.92
CO0100;D205;1197.33;28500.0;ETE;-27302.67
CO0100;D209;1517.186;2300.0;ETE;-782.814
CO0100;D212;2050.996;19120.0;ETE;-17069.004
CO0100;D213;2355.008;;;
CO0100;D218;1301.5;7250.0;ETE;-5948.5
CO0100;D220;1117.833;119310.0;ETE;-118192.167
CO0100;D222;5951.72;3760.0;ETE;2191.72
CO0100;D223;1039.072;1000.0;ETE;39.072
CO0100;D226;90.47;105700.0;ETE;-105609.53
CO0100;D271;1164.781;;;
CO0100;D272;2132.4163;;;
CO0100;D281;1183.086;;;
CO0100;D283;2010.6782;;;
CO0100;D287;825.377;;;
CO0100;D402;2153.5511;71200.0;ETE;-69046.4489
CO0100;D411;2770.4836;85250.0;ETE;-82479.5164
CO0100;D416;5612.47;14860.0;ETE;-9247.53
CO0100;D418;1405.287;8510.0;ETE;-7104.713
CO0100;D419;696.034;120.0;ETE;576.034
CO0100;D424;2129.848;18000.0;ETE;-15870.152
CO0100;D426;3111.382;21150.0;ETE;-18038.618
CO0100;D439;6623.5817;33270.0;ETE;-26646.4183
CO0100;D440;1536.1444;21150.0;ETE;-19613.8556
CO0100;D441;1926.7444;88400.0;ETE;-86473.2556
CO0100;D442;2303.893;115860.0;ETE;-113556.107
CO0100;D445;488.187;17100.0;ETE;-16611.813
CO0100;D456;2592.5935;88400.0;ETE;-85807.4065
CO0100;D464;3898.839;240.0;ETE;3658.839
CO0100;D472;1003.018;8970.0;ETE;-7966.982
CO0100;D476;865.891;7720.0;ETE;-6854.109
CO0100;D490;3950.37;102400.0;ETE;-98449.63
CO0100;D501;2034.456;;;
CO0100;D507;843.8;;;
CO0100;D509;1334.8;;;
CO0100;D514;7298.0539;1080.0;ETE;6218.0539
CO0100;D517;6209.9903;20750.0;ETE;-14540.0097
CO0100;D519;5107.25;64050.0;ETE;-58942.75
CO0100;D520;4206.2032;400.0;ETE;3806.2032
CO0100;D524;1625.0;;;
CO0100;D525;4347.452;41440.0;ETE;-37092.548
CO0100;D609;4602.978;69440.0;ETE;-64837.022
CO0100;D610;4570.623;67350.0;ETE;-62779.377
CO0100;D615;2315.6757;7890.0;ETE;-5574.3243
CO0100;D617;7066.7226;1000.0;ETE;6066.7226
CO0100;D618;808.064;;;
CO0100;D622;11456.164;;;
CO0100;D624;2464.5831;;;
CO0100;D625;6438.045;6800.0;ETE;-361.955
CO0100;D627;1782.3095;102200.0;ETE;-100417.6905
CO0100;D628;2335.3907;114200.0;ETE;-111864.6093
CO0100;D632;5100.5206;134960.0;ETE;-129859.4794
CO0100;D635;4939.594;;;
CO0100;D637;986.5457;;;
CO0100;D642;3570.8396;71190.0;ETE;-67619.1604
CO0100;D644;4073.086;49270.0;ETE;-45196.914
CO0100;D645;2164.21;72640.0;ETE;-70475.79
CO0100;D646;1151.577;280.0;ETE;871.577
CO0100;D649;1614.4566;2445.0;ETE;-830.5434
CO0100;D652;3947.725;22770.0;ETE;-18822.275
CO0100;D653;1798.4417;38300.0;ETE;-36501.5583
CO0100;D654;3232.9665;850.0;ETE;2382.9665
CO0100;D656;2518.4461;;;
CO0100;D658;1270.658;65200.0;ETE;-63929.342
CO0100;D659;6091.9405;;;
CO0100;D660;3976.8656;151710.0;ETE;-147733.1344
CO0100;D661;5059.0323;44850.0;ETE;-39790.9677
CO0100;D662;2635.715;51320.0;ETE;-48684.285
CO0100;D663;1071.5;;;
CO0100;D665;188.1121;;;
CO0100;D666;3752.1892;12810.0;ETE;-9057.8108
CO0100;D667;2979.0322;94600.0;ETE;-91620.9678
CO0100;D669;5680.4338;258900.0;ETE;-253219.5662
CO0100;D671;2124.582;;;
CO0100;D675;4724.8184;;;
CO0100;D677;6915.4629;4200.0;ETE;2715.4629
CO0100;D678;2750.0578;600.0;ETE;2150.0578
CO0100;D679;5932.4783;;;
CO0100;D680;2365.419;;;
CO0100;D682;4390.8188;;;
CO0100;D700;2407.961;13600.0;ETE;-11192.039
CO0100;D702;720.5;111250.0;ETE;-110529.5
CO0100;D704;1903.404;7560.0;ETE;-5656.596
CO0100;D705;4040.753;;;
CO0100;D706;442.5;;;
CO0100;D707;3196.315;50400.0;ETE;-47203.685
CO0100;D708;1301.65;;;
CO0100;D711;356.2;4690.0;ETE;-4333.8
CO0100;D742;1193.2;100.0;ETE;1093.2
CO0133;D517;931.0329;750.0;ETE;181.0329
CO0133;D613;2399.5276;4000.0;ETE;-1600.4724
CO0133;D614;1654.8255;4000.0;ETE;-2345.1745
CO0133;D638;330.4692;;;
CO0152;D641;253.4143;16100.0;ETE;-15846.5857
CO0152;D644;338.2825;3370.0;ETE;-3031.7175
CO0152;D644;338.2825;110.0;AUT;228.2825
CO0152;D662;970.8912;4520.0;ETE;-3549.1088
CO0152;D662;970.8912;2200.0;AUT;-1229.1088
CO0152;D664;3158.2;1800.0;ETE;1358.2
CO0152;D664;3158.2;900.0;AUT;2258.2
CO0152;D674;3618.9097;15600.0;ETE;-11981.0903
CO0152;D674;3618.9097;1300.0;AUT;2318.9097
CO0154;D216;318.415;1110.0;ETE;-791.585
CO0154;D441;51.717;650.0;ETE;-598.283
CO0154;D617;238.968;;;
CO0166;D013;484.683;;;
CO0166;D514;82.345;;;
CO0166;D632;176.81;;;
CO0173;D007;589.5078;;;
CO0173;D402;323.1458;;;
CO0173;D405;727.822;;;
CO0173;D411;398.7306;;;
CO0173;D419;408.9543;;;
CO0173;D637;811.5153;;;
CO0173;D649;725.0074;;;
CO0173;D652;600.131;;;
CO0173;D654;991.22;;;
CO0173;D665;1667.289;;;
CO0173;D671;519.9027;;;
CO0173;D672;167.5255;;;
CO0173;D675;1355.623;;;
CO0173;D682;226.3441;;;
CO0175;D603;406.927;650.0;ETE;-243.073
CO0175;D628;685.695;;;
CO0175;D638;754.851;;;
CO0200;D003;313.0;;;
CO0200;D010;142.0;3300.0;ETE;-3158.0
CO0200;D012;215.0;8800.0;ETE;-8585.0
CO0200;D013;518.2;;;
CO0200;D014;320.0;;;
CO0200;D015;31.0;;;
CO0200;D016;205.0;;;
CO0200;D017;631.38;300.0;ETE;331.38
CO0200;D026;698.965;11400.0;ETE;-10701.035
