CODE_DIVISION;CODE_CELLULE;CODE_PRODUIT_STOCKAGE_ETE;CODE_PRODUIT_STOCKAGE_AUTOMNE
D700;M000;;
D700;M001;CO0100;
D700;M002;CO0100;
D700;M003;CO0100;
D700;M004;CO0100;
D700;M005;CO0300;
D700;M006;CO1100;
D700;M007;CO0166;
D700;M008;CO0166;
D700;M701;;
D700;M702;;
D701;M000;;
D701;M001;CO1100;
D701;M002;CO1100;
D701;M101;;
D701;M102;;
D702;M000;;
D702;M001;CO0501;
D702;M002;CO0100;
D702;M003;CO0300;
D702;M004;CO0100;CO0802
D702;M101;;
D702;M102;;
D702;M103;;
D702;M104;;
D704;C01;CO0300;
D704;C02;CO1100;
D704;C03;CO0100;
D704;C04;CO0100;
D704;C05;CO1100;
D704;C06;;
D708;M000;;
D708;M701;;
D708;M702;;
D402;M000;;
D402;M001;CO0100;
D402;M002;CO0100;
D402;M003;CO0100;
D402;M004;;
D402;M101;;
D402;M102;;
D402;M103;;
D402;M104;;
D402;M105;;
D402;M106;;
D402;M107;;
D402;M108;;
D631;M000;;
D631;M011;;
D631;M012;CO1002;
D631;M013;CO0315;CO0802
D631;M014;CO1002;
D631;M101;;
D631;M102;;
D631;M103;;
D631;M104;;
D631;M105;;
D631;M106;;
D631;M107;;
D631;M401;CO0100;
D631;M402;CO0100;
D631;M403;CO0700;
D631;M404;CO0501;
D631;M405;;CO0802
D631;M406;;CO0802
D631;M407;;
D633;M000;;
D633;M001;;
D633;M002;;
D633;M003;CO0154;
D633;M004;CO0178;
D633;M005;;
D633;M006;;
D633;M007;CO0178;
D633;M008;;
D633;M009;CO0178;
D633;M010;;
D633;M011;CO0154;
D633;M012;;
D633;M013;CO0154;
D633;M014;CO0154;
D633;M021;CO0100;
D633;M022;CO0152;
D633;M023;CO0152;
D633;M024;CO0178;
D633;M025;CO0100;CO0802
D633;M026;CO0100;
D633;M127;;
D633;M128;;
D633;M129;;
D633;M130;;
D633;M301;;
D633;M302;;
D633;M303;;
D633;M304;;
D633;M305;;
D633;M306;;
D651;M000;;
D651;M001;CO0100;CO0601
D651;M002;CO0700;CO0601
D651;M003;;CO0601
D651;M004;;CO0601
D651;M101;;
D651;M102;;
D651;M103;;
D651;M401;CO0100;
D651;M402;CO0100;
D651;M403;;CO0601
D651;M404;;CO0601
D654;M000;;
D654;M301;;
D654;M302;;
D654;M303;;
D654;M304;;
D654;M305;;
D654;M306;;
D654;M307;;
D654;M308;;
D654;M309;;
D654;M310;;
D657;M000;;
D657;M001;CO0300;
D657;M002;CO0300;
D657;M003;CO0133;
D657;M004;CO0133;
D657;M005;CO0700;CO0802
D657;M006;CO0700;CO0802
D657;M007;;CO0802
D657;M008;CO0100;CO0802
D657;M101;;
D657;M102;;
D657;M103;;
D657;M104;;
D657;M401;;
D657;M402;;
D657;M403;;
D658;M000;;
D658;M001;CO0200;
D658;M002;CO0200;
D658;M003;;
D658;M101;;
D658;M102;;
D658;M401;;
D658;M402;;
D666;M000;;
D666;M001;;
D666;M002;;
D666;M101;;
D666;M102;;
D666;M103;;
D666;M104;;
D666;M301;;
D666;M303;;
D666;M304;;
D666;M306;;
D666;M321;;
D666;M401;;
D666;M402;;
D666;M403;;
D667;M000;;
D667;M001;CO0100;
D667;M002;CO0100;
D667;M003;CO0300;
D667;M004;CO0300;
D667;M005;;
D667;M101;;
D667;M102;;
D667;M301;;
D667;M302;;
D667;M303;;
D669;M000;;
D669;M001;CO0133;
D669;M002;CO0100;
D669;M003;CO1002;
D669;M004;CO0300;CO0802
D669;M101;;
D669;M102;;
D669;M103;;
D669;M104;;
D669;M301;;
D669;M302;;
D669;M303;;
D669;M304;;
D669;M305;;
D672;M000;;
D672;M001;CO0100;
D672;M002;CO0100;
D672;M003;CO0100;
D672;M004;CO0100;
D672;M005;;
D672;M006;;
D672;M101;;
D672;M102;;
D672;M301;;
D672;M302;;
D672;M303;;
D673;M000;;
D673;M001;;
D673;M002;;
D673;M101;;
D673;M102;;
D673;M301;;
D673;M302;;
D673;M303;;
D675;M000;;
D001;M000;;
D001;M001;CO0100;
D001;M002;CO0100;
D001;M101;;
D001;M201;;
D001;M301;;
D001;M302;;
D001;M303;;
D001;M304;;
D001;M305;;
D001;M306;;
D001;M307;;
D012;M000;;
D012;M001;CO0100;CO0802
D012;M002;CO0100;CO0802
D012;M003;CO0100;
D012;M004;CO0100;
D012;M005;CO0300;
D012;M006;CO0300;
D012;M007;CO0300;
D012;M008;CO0100;
D012;M009;;CO0604
D012;M010;;CO0604
D012;M011;;CO0604
D012;M012;CO0315;CO0604
D012;M013;;CO0604
D012;M014;CO0100;
D012;M101;;
D012;M102;;
D012;M103;;
D012;M104;;
