CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE
CO0501;D700;D707;180
CO0501;D020;D631;42
CO0501;D404;D631;90
CO0501;D701;D707;46
CO0501;D702;D707;9
CO0501;D513;D638;16
CO0501;D742;D707;27
CO0501;D517;D638;6
CO0501;D615;D638;68
CO0501;D602;D638;32
CO0501;D673;D631;32
CO0501;D616;D638;7
CO0501;D677;D638;81
CO0501;D210;D638;3
CO0501;D645;D631;16
CO0501;D676;D638;34
CO0501;D627;D631;12
CO0501;D606;D638;60
CO0501;D685;D638;25
CO0501;D441;D631;236
CO0501;D501;D638;99
CO0501;D710;D707;2
CO0501;D008;D638;37
CO0501;D625;D638;58
CO0501;D711;D707;23
CO0501;D613;D631;8
CO0501;D629;D638;474
CO0501;D007;D631;46
CO0501;D049;D638;26
CO0504;D700;D707;47
CO0504;D624;D638;27
CO0504;D702;D707;46
CO0504;D009;D519;18
CO0504;D657;D631;190
CO0504;D742;D710;56
CO0504;D517;D519;73
CO0504;D602;D638;69
CO0504;D704;D707;10
CO0504;D053;D519;1502
CO0504;D651;D631;44
CO0504;D514;D519;74
CO0504;D627;D638;162
CO0504;D611;D638;66
CO0504;D525;D519;39
CO0504;D014;D519;18
CO0504;D708;D519;48
CO0504;D661;D631;41
CO0504;D652;D631;238
CO0504;D632;D631;118
CO0504;D709;D710;153
CO0504;D006;D631;16
CO0504;D679;D638;118
CO0504;D633;D631;63
CO0504;D625;D519;71
CO0504;D639;D638;40
CO0504;D439;D631;106
CO0504;D629;D638;418
CO0504;D442;D631;51
CO0504;D628;D638;70
CO0502;D066;D022;44
CO0502;D524;D022;12
CO0502;D107;D022;26
CO0502;D700;D707;14
CO0502;D202;D022;18
CO0502;D605;D639;4
CO0502;D063;D022;12
CO0502;D440;D462;51
CO0502;D513;D022;82
CO0502;D009;D022;27
CO0502;D013;D022;32
CO0502;D517;D519;217
CO0502;D128;D462;88
CO0502;D034;D022;28
CO0502;D641;D639;24
CO0502;D520;D519;148
CO0502;D667;D022;32
CO0502;D704;D707;18
CO0502;D053;D022;205
CO0502;D504;D508;8
CO0502;D673;D022;72
CO0502;D110;D022;8
CO0502;D677;D639;33
CO0502;D210;D022;46
CO0502;D705;D707;12
CO0502;D514;D519;337
CO0502;D411;D707;38
CO0502;D490;D022;64
CO0502;D645;D639;20
CO0502;D676;D639;26
CO0502;D660;D639;8
CO0502;D054;D022;9
CO0502;D606;D519;83
CO0502;D074;D022;6
CO0502;D662;D639;14
CO0502;D685;D639;17
CO0502;D708;D707;60
CO0502;D652;D462;10
CO0502;D678;D639;372
CO0502;D220;D022;3
CO0502;D709;D710;6
CO0502;D710;D707;20
CO0502;D679;D639;38
CO0502;D214;D022;2
CO0502;D200;D022;4
CO0502;D116;D462;6
CO0502;D711;D707;5
CO0502;D046;D022;45
CO0502;D629;D639;270
CO0502;D442;D462;7
CO0502;D638;D639;207
CO0502;D511;D022;42
CO0502;D681;D639;34
CO0502;D644;D639;116
CO0502;D049;D022;32
CO0502;D628;D639;6
CO0154;D654;D633;84
CO0154;D631;D633;298
CO0154;D053;D633;43
CO0154;D652;D633;13
CO0154;D441;D633;38
CO0154;D617;D633;62
CO0154;D216;D435;211
CO0175;D621;D606;49
CO0175;D638;D606;233
CO0175;D603;D606;51
CO0175;D628;D602;276
CO0166;D402;D404;180
CO0166;D009;D022;105
CO0166;D013;D022;109
CO0166;D111;D022;43
CO0166;D514;D022;45
CO0166;D669;D404;79
CO0166;D014;D022;194
CO0166;D663;D404;75
CO0166;D632;D404;70
CO0166;D017;D022;51
CO0166;D068;D508;190
CO0166;D056;D508;68
CO0200;D100;D107;961
CO0200;D100;D410;961
CO0200;D647;D442;39
CO0200;D020;D490;62
CO0200;D402;D490;110
CO0200;D404;D632;176
CO0200;D654;D658;79
CO0200;D605;D603;18
CO0200;D405;D442;137
CO0200;D063;D062;317
CO0200;D503;D062;54
CO0200;D032;D062;50
CO0200;D440;D442;158
CO0200;D513;D062;92
CO0200;D001;D062;526
CO0200;D657;D658;153
CO0200;D013;D062;375
CO0200;D157;D405;43
CO0200;D610;D603;188
CO0200;D642;D442;61
CO0200;D128;D143;191
CO0200;D026;D062;381
CO0200;D034;D062;364
CO0200;D666;D658;143
CO0200;D510;D062;174
CO0200;D631;D632;517
CO0200;D460;D216;147
CO0200;D649;D442;120
CO0200;D667;D632;88
CO0200;D222;D442;82
CO0200;D653;D658;54
CO0200;D609;D603;174
CO0200;D102;D424;219
CO0200;D673;D658;225
CO0200;D002;D062;16
CO0200;D110;D143;165
CO0200;D210;D410;333
CO0200;D035;D062;56
CO0200;D003;D062;298
CO0200;D111;D410;93
CO0200;D514;D062;357
CO0200;D411;D107;172
CO0200;D614;D603;167
CO0200;D010;D062;67
CO0200;D674;D603;74
CO0200;D627;D658;92
CO0200;D669;D658;228
CO0200;D416;D424;1151
CO0200;D014;D062;200
CO0200;D018;D062;40
CO0200;D419;D490;302
CO0200;D652;D442;371
CO0200;D441;D442;64
CO0200;D106;D062;291
CO0200;D501;D062;112
CO0200;D114;D143;223
CO0200;D464;D062;138
CO0200;D209;D216;123
CO0200;D109;D201;176
CO0200;D015;D062;21
CO0200;D220;D424;270
CO0200;D271;D490;64
CO0200;D287;D658;49
CO0200;D617;D658;401
CO0200;D065;D062;149
CO0200;D016;D062;70
CO0200;D105;D143;559
CO0200;D012;D062;50
CO0200;D038;D062;45
CO0200;D680;D658;37
CO0200;D679;D603;110
