CODE_PRODUIT;CODE_ADHERENT;CODE_SITE;SURFACE_PREVISIONNELLE
112;0000301236;D520;7
112;0000392252;D620;3.99
112;0000387094;D520;30.04
112;0000387405;D053;14s
112;0000387876;D053;2
112;0000390387;D678;6.86
112;0000034366;D519;5.03
112;0000362855;D700;1.31
112;0000364119;D708;6
112;0000364951;D711;7
112;0000363114;D705;11
112;0000363965;D705;11.08
112;0000363976;D705;11.84
112;0002037093;D705;8
112;0002037205;D705;5
112;0002037361;D705;4.7
112;0002037556;D705;7
112;0000087003;D010;3
112;0000293952;D440;14.3
112;0000390708;D644;10
112;0000394955;D641;20.21
112;0000391199;D617;25
112;0000302502;D666;3.48
112;0000391565;D663;5
112;0000393086;D662;20.06
112;0002037171;D503;1.14
112;0000033466;D011;11.78
112;0000301158;D010;2.5
112;0000386731;D514;32.83
112;0000302152;D707;15
112;0000364409;D707;10
112;0000364574;D705;5
112;0000365174;D707;10
112;0000365195;D705;5
112;0002036771;D707;3
112;0002036950;D705;15
112;0002037356;D705;6
112;0002037375;D705;5
112;0002037378;D707;10
112;0000367511;D700;10
112;0002036835;D702;15
112;0000366385;D707;8
112;0000366605;D707;5
84;0000302326;D416;6.5
84;0000502492;D411;1.9
84;0000297330;D439;7.5
84;0000391951;D672;16.16
84;0000392025;D672;8.86
84;0000392487;D672;12.43
84;0000391504;D620;17.45
84;0000395001;D610;13.08
84;0000192329;D633;2.2
84;0000394173;D605;6.16
84;0000391188;D673;5.36
84;0000391635;D673;8.28
84;0000034079;D009;5.24
84;0000034548;D056;13.58
84;0000087001;D014;12.21
9;0002037049;D627;19
9;0000394046;D677;1.726
9;0000302489;D629;0.002
9;0000364089;D705;1
9;0000033958;D017;0.003
9;0000300724;D218;0.004
9;0000502492;D100;0.002
9;0000394515;D651;8
9;0000302010;D631;0.002
9;0000390073;D631;0.001
9;0000394954;D631;0.002
9;0000391635;D673;0.01
9;0000392842;D657;0.002
9;0000066815;D013;7.85
952;0000299893;D026;25.7
CDC;0000034151;D011;17.55
CO0100;0000301236;D520;4
CO0100;0000071202;D021;50
CO0100;0000301030;D602;8.4
CO0100;0000301607;D676;36.53
CO0100;0000301797;D606;29.012
CO0100;0000301870;D019;35.03
CO0100;0000301878;D628;30.08
CO0100;0000301886;D676;19.62
CO0100;0000301994;D606;13.5
CO0100;0000302235;D616;21.01
CO0100;0000380737;D606;3.85
CO0100;0000390640;D628;12.15
CO0100;0000390732;D628;10.05
CO0100;0000390853;D621;1.53
CO0100;0000390977;D638;14.56
CO0100;0000391326;D676;126.98
CO0100;0000391348;D621;22.75
CO0100;0000391395;D628;0.002
CO0100;0000391414;D628;7.99
CO0100;0000391421;D621;17.047
CO0100;0000391471;D628;45.68
CO0100;0000391762;D621;83.85
CO0100;0000391867;D621;43.6
CO0100;0000392235;D638;24.33
CO0100;0000392252;D620;23.55
CO0100;0000392325;D621;35.11
CO0100;0000392681;D628;60.4
CO0100;0000393239;D606;17
CO0100;0000393361;D638;43.45
CO0100;0000393614;D622;19.39
CO0100;0000393629;D676;94.62
CO0100;0000394799;D611;16.47
CO0100;0000395114;D616;37.63
CO0100;0000395162;D676;23.96
CO0100;0000395429;D621;13.56
CO0100;0002037126;D628;17.71
CO0100;0000301184;D626;37.96
CO0100;0000301771;D609;0.03
CO0100;0000302331;D612;60
CO0100;0000302331;D615;10
CO0100;0000390446;D608;0.003
CO0100;0000390652;D609;9.7
CO0100;0000391048;D608;15.69
CO0100;0000391238;D609;19.41
CO0100;0000391371;D609;64.8
CO0100;0000391380;D608;25.78
CO0100;0000391397;D616;0.03
CO0100;0000391483;D610;30
CO0100;0000391483;D612;20
CO0100;0000391483;D638;20
CO0100;0000391502;D676;11.254
CO0100;0000391536;D609;18.797
CO0100;0000391547;D612;17.45
CO0100;0000391569;D609;4.71
CO0100;0000391571;D612;25.24
CO0100;0000391592;D608;0.893
CO0100;0000391646;D608;29.72
CO0100;0000391646;D612;25
CO0100;0000391680;D626;73.8
CO0100;0000391886;D627;15
CO0100;0000392076;D608;20.21
CO0100;0000392076;D612;20
CO0100;0000392079;D612;20
CO0100;0000392079;D626;10
CO0100;0000392099;D609;23.93
CO0100;0000392099;D610;20
CO0100;0000392131;D612;38.58
CO0100;0000392209;D612;20
CO0100;0000392379;D612;14.66
CO0100;0000392501;D609;80
CO0100;0000392501;D679;10.88
CO0100;0000392588;D612;15
CO0100;0000392588;D615;18.87
CO0100;0000392632;D612;23
CO0100;0000392682;D609;60
CO0100;0000392685;D608;10
CO0100;0000392685;D638;20
CO0100;0000393044;D609;25
CO0100;0000393261;D612;18.14
CO0100;0000393472;D608;15
CO0100;0000393711;D608;15
CO0100;0000393776;D676;45.78
CO0100;0000394243;D609;3.1
CO0100;0000394533;D608;10.71
CO0100;0000394533;D616;18
CO0100;0000394754;D611;29.2
CO0100;0000394754;D612;30
CO0100;0000394835;D300;76.49
CO0100;0000394858;D609;15.837
CO0100;0000394858;D611;30
CO0100;0000394915;D612;20
CO0100;0000394980;D612;7
CO0100;0000395159;D609;25.806
CO0100;0002036517;D608;3.809
CO0100;0002036613;D602;13.66
CO0100;0002037049;D627;17.3
CO0100;0002037172;D627;10.19
CO0100;0002037535;D602;20
CO0100;0002037535;D612;20
CO0100;0000301173;D679;30
CO0100;0000301278;D677;8.821
CO0100;0000301634;D677;15
CO0100;0000301780;D677;70
CO0100;0000302028;D677;140
CO0100;0000302601;D677;17.64
CO0100;0000302666;D638;27.94
CO0100;0000390236;D677;62.62
CO0100;0000390268;D677;40.07
CO0100;0000391185;D677;2.5
CO0100;0000391228;D679;60
CO0100;0000391372;D638;20
CO0100;0000391549;D676;16.76
CO0100;0000391564;D628;38.8
CO0100;0000391566;D677;50
CO0100;0000391666;D639;3.66
CO0100;0000391773;D676;20
CO0100;0000391809;D677;60
CO0100;0000392247;D676;30
CO0100;0000392285;D639;60
CO0100;0000392590;D677;152.22
CO0100;0000393161;D639;39.09
CO0100;0000393297;D286;19.83
CO0100;0000393606;D286;30.2
CO0100;0000393692;D677;25.96
CO0100;0000394046;D677;39.4
CO0100;0000394497;D628;39.31
CO0100;0000394751;D676;50
CO0100;0000394905;D676;20.75
CO0100;0000394993;D676;21.17
CO0100;0000395051;D639;10
CO0100;0002036725;D286;5.98
CO0100;0002037119;D639;20
CO0100;0002037163;D286;30
CO0100;0000030229;D053;1.65
CO0100;0000033248;D704;6.56
CO0100;0000033302;D520;10
CO0100;0000033389;D053;16
CO0100;0000034302;D520;10.95
CO0100;0000045499;D053;15.85
CO0100;0000045502;D520;18
CO0100;0000046343;D053;14
CO0100;0000300006;D520;32.5
CO0100;0000300963;D704;17
CO0100;0000301226;D704;41
CO0100;0000301441;D704;17.8
CO0100;0000380910;D520;34
CO0100;0000381990;D606;29.07
CO0100;0000383273;D519;53.34
CO0100;0000383358;D520;24
CO0100;0000383532;D606;23.58
CO0100;0000384345;D520;23
CO0100;0000384448;D517;20
CO0100;0000384642;D520;2
CO0100;0000384665;D520;5
CO0100;0000384667;D520;19.45
CO0100;0000384956;D520;3
CO0100;0000384957;D520;11.61
CO0100;0000385368;D606;13.39
CO0100;0000387059;D602;11.41
CO0100;0000387094;D520;33.58
CO0100;0000387228;D704;3.2
CO0100;0000387722;D704;14
CO0100;0000390638;D679;3.95
CO0100;0000391352;D520;5
CO0100;0000391459;D520;23
CO0100;0000392622;D679;27.49
CO0100;0000393066;D520;3
CO0100;0000394585;D520;5.39
CO0100;0002036510;D520;20
CO0100;0000034344;D053;28
CO0100;0000034924;D503;117
CO0100;0000056593;D053;5
CO0100;0000300113;D503;40
CO0100;0000300227;D053;4
CO0100;0000300893;D053;3
CO0100;0000302386;D053;5
CO0100;0000302596;D053;4.5
CO0100;0000382129;D053;20
CO0100;0000387126;D053;13
CO0100;0000387200;D053;15
CO0100;0000387376;D053;6
CO0100;0000387384;D053;17.5
CO0100;0000387405;D053;3.5
CO0100;0000387426;D053;17.5
CO0100;0000387582;D053;20
CO0100;0000387700;D053;8
CO0100;0000387737;D053;7
CO0100;0000387872;D053;16
CO0100;0002037089;D053;4
CO0100;0000300166;D679;16.376
CO0100;0000300990;D678;18
CO0100;0000381993;D679;10
CO0100;0000387562;D678;21
CO0100;0000387928;D679;0.004
CO0100;0000390193;D639;16.53
CO0100;0000390622;D679;0.81
CO0100;0000390808;D679;27.64
CO0100;0000391290;D639;17.08
CO0100;0000391389;D520;9.66
CO0100;0000391849;D639;17.52
CO0100;0000392284;D639;29.92
CO0100;0000392634;D679;63.44
CO0100;0000392980;D679;80.847
CO0100;0000393496;D639;7.04
CO0100;0000393975;D638;17
CO0100;0000395140;D678;27.312
CO0100;0000395163;D678;9.63
CO0100;0002036888;D612;20.54
CO0100;0000301263;D615;20
CO0100;0000301708;D286;4.81
CO0100;0000301717;D602;15
CO0100;0000301717;D639;10
CO0100;0000301717;D678;20
CO0100;0000301955;D602;5
CO0100;0000302352;D286;26.09
CO0100;0000381989;D624;10
CO0100;0000383826;D624;27.5
CO0100;0000383830;D624;5
CO0100;0000383834;D624;25.569
CO0100;0000387904;D602;16.194
CO0100;0000390451;D602;10
CO0100;0000391213;D612;25
CO0100;0000391345;D615;55.59
CO0100;0000391415;D677;15
CO0100;0000391448;D602;29.48
CO0100;0000391936;D615;55
CO0100;0000392202;D602;40
CO0100;0000392282;D638;89.47
CO0100;0000392553;D602;43.98
CO0100;0000392558;D615;20
CO0100;0000392572;D615;10
CO0100;0000392586;D615;26.163
CO0100;0000392593;D615;10
CO0100;0000392600;D612;70
CO0100;0000392606;D624;5
CO0100;0000392640;D615;5
CO0100;0000392677;D615;20
CO0100;0000392732;D602;54.283
CO0100;0000392978;D602;25.69
CO0100;0000393004;D639;20.53
CO0100;0000393415;D638;15
CO0100;0000393677;D638;4.69
CO0100;0000394149;D602;24.21
CO0100;0000394488;D286;14.37
CO0100;0000394551;D612;34.38
CO0100;0000394837;D602;50.36
CO0100;0002036978;D602;20
CO0100;0000301471;D629;16.06
CO0100;0000301552;D629;58
CO0100;0000301924;D629;21.07
CO0100;0000363482;D711;23
CO0100;0000363678;D702;15
CO0100;0000390320;D627;25
CO0100;0000390608;D629;20.55
CO0100;0000391295;D629;10
CO0100;0000391320;D627;33.618
CO0100;0000391344;D628;10
CO0100;0000391356;D629;15
CO0100;0000391373;D638;16.31
CO0100;0000391392;D628;30
CO0100;0000391649;D628;20
CO0100;0000391670;D628;17
CO0100;0000391727;D629;40
CO0100;0000391812;D700;20
CO0100;0000392120;D639;5
CO0100;0000392157;D629;20.98
CO0100;0000392257;D627;22
CO0100;0000392271;D606;20
CO0100;0000392670;D629;30
CO0100;0000392773;D638;9
CO0100;0000392937;D629;4
CO0100;0000392947;D629;13.38
CO0100;0000393031;D629;11.81
CO0100;0000393944;D629;3.8
CO0100;0000393947;D638;40
CO0100;0000394281;D627;20
CO0100;0000394422;D627;16.59
CO0100;0000394682;D629;10
CO0100;0000394691;D629;108
CO0100;0000394798;D621;53.5
CO0100;0000394809;D627;46.97
CO0100;0000394866;D678;30
CO0100;0000395131;D628;20
CO0100;0002036668;D629;12
CO0100;0002037211;D629;20
CO0100;0000383792;D519;4.69
CO0100;0000024627;D517;12.18
CO0100;0000026205;D519;20.42
CO0100;0000032163;D525;45.62
CO0100;0000033183;D525;181.97
CO0100;0000033251;D525;37.52
CO0100;0000033517;D519;2.1
CO0100;0000033547;D519;51.15
CO0100;0000034366;D519;69.85
CO0100;0000036807;D517;20
CO0100;0000044604;D054;5
CO0100;0000044604;D519;25
CO0100;0000045497;D519;15.15
CO0100;0000087566;D519;16
CO0100;0000087566;D525;8
CO0100;0000088116;D525;93.11
CO0100;0000091331;D606;0.001
CO0100;0000300225;D519;8
CO0100;0000300713;D519;11.86
CO0100;0000301790;D519;6.64
CO0100;0000302193;D517;12.2
CO0100;0000302383;D606;8.63
CO0100;0000302608;D525;23.57
CO0100;0000381164;D517;19.79
CO0100;0000381173;D517;0.527
CO0100;0000381349;D517;36.4
CO0100;0000381364;D517;34.75
CO0100;0000381936;D519;12.76
CO0100;0000383296;D519;34.87
CO0100;0000383533;D517;15
CO0100;0000383546;D517;10.06
CO0100;0000384386;D525;11
CO0100;0000384451;D517;9.75
CO0100;0000385111;D525;6.42
CO0100;0000385452;D519;8
CO0100;0000385474;D519;26.12
CO0100;0000392659;D603;3.028
CO0100;0002036785;D525;17.07
CO0100;0002037076;D525;8
CO0100;0000301410;D708;14
CO0100;0000362863;D700;24
CO0100;0000362886;D700;8
CO0100;0000363506;D708;12
CO0100;0000363521;D700;19.79
CO0100;0000363938;D708;19.5
CO0100;0000364125;D708;25
CO0100;0000364534;D700;4
CO0100;0000364542;D700;8
CO0100;0000364834;D708;4
CO0100;0000364946;D711;25
CO0100;0000365221;D707;7
CO0100;0002037017;D708;9
CO0100;0000300363;D705;47
CO0100;0000302604;D705;15
CO0100;0000363760;D705;18.5
CO0100;0000363807;D705;4.26
CO0100;0000363825;D705;5.8
CO0100;0000363843;D705;12
CO0100;0000363846;D705;5
CO0100;0000363950;D705;15
CO0100;0000363955;D705;15
CO0100;0000363970;D705;23
CO0100;0000363971;D705;19.5
CO0100;0000363976;D705;10
CO0100;0000364077;D705;4
CO0100;0000364083;D705;22
CO0100;0000364086;D705;3.14
CO0100;0000364089;D705;4
CO0100;0000364273;D705;31.31
CO0100;0000364313;D705;7
CO0100;0000364315;D705;5
CO0100;0000364555;D705;4
CO0100;0000364799;D705;6
CO0100;0000364802;D705;5
CO0100;0000364804;D705;1.8
CO0100;0000364808;D705;2.86
CO0100;0000364876;D705;7
CO0100;0000365027;D705;13
CO0100;0000387600;D053;13
CO0100;0002036528;D705;4.5
CO0100;0002036549;D705;4
CO0100;0000010304;D018;23.5
CO0100;0000015486;D003;4.3
CO0100;0000033209;D003;13.3
CO0100;0000033425;D046;11.7
CO0100;0000033537;D003;23.6
CO0100;0000034168;D003;0.9
CO0100;0000034284;D003;5.33
CO0100;0000034921;D008;3.5
CO0100;0000035525;D003;69.5
CO0100;0000045040;D003;3
CO0100;0000054214;D003;7.57
CO0100;0000088071;D017;12
CO0100;0000088785;D003;6.68
CO0100;0000090047;D003;12.14
CO0100;0000299888;D003;2.69
CO0100;0000299963;D003;12
CO0100;0000300334;D003;24.03
CO0100;0000300359;D087;9
CO0100;0000301295;D003;3
CO0100;0000110891;D111;25.51
CO0100;0000142287;D111;14
CO0100;0000193917;D110;5.43
CO0100;0000234562;D110;1.38
