CODE_PRODUIT;RENDEMENT;CODE_PRODUIT_STOCKAGE;PRODUIT;PERIODE;TYPE;MASSE_VOL
CO0456;2.8;CO0456;AVOINE NOIRE AB;SUM;AB;1.5
CO0501;5;CO0501;AVOINE BLANCHE;SUM;CONV;1.5
CO0410;2.8;CO0410;AVOINE BLANCHE AB;SUM;AB;1.5
CO0504;5;CO0501;AVOINE BLANCHE;SUM;CONV;1.5
CO0502;5;CO0502;AVOINE NOIRE;SUM;CONV;1.5
ME040;2.8;ME040;Avoine/Féverolles AB;SUM;AB;1.6
CO0154;5.5;CO0154;BLE ARKEOS NF V30-001;SUM;CONV;1
CO0175;5.5;CO0175;BLE DE FORCE CRC IZALCO CS;SUM;CONV;1
CO0166;5.5;CO0166;BLE DE FORCE IZALCO CS;SUM;CONV;1
CO0161;5.5;CO0161;BLE DE FORCE SANS CT;SUM;CONV;1
CO0200;5;CO0200;BLE DUR;SUM;CONV;1
CO0449;2.5;CO0449;BLE DUR AB;SUM;AB;1
CO0203;5;CO0200;BLE DUR;SUM;CONV;1
CO0178;5.5;CO0178;BLE HANSEL NF V30-001;SUM;CONV;1
CO0133;5.9;CO0133;BLE MELANGE VRM CRC;SUM;CONV;1
CO0173;5.9;CO0173;BLE MEUNIER EXPORT;SUM;CONV;1
CO0152;5.9;CO0152;BLE NFV 30-001;SUM;CONV;1
CO0100;5.9;CO0100;BLE TENDRE;SUM;CONV;1
CO0447;3;CO0447;BLE TENDRE AB;SUM;AB;1
CO0448;2.8;CO0448;BLE TENDRE CONVERSION 2;SUM;AB;1
CO0182;5.9;CO0100;BLE TENDRE;SUM;CONV;1
ME010;3;ME010;Blé/Féverolles AB;SUM;AB;1
ME012;3;ME012;Blé/Féverolles C2;SUM;AB;1
CO0470;0.5;CO0470;CAMELINE AB;SUM;AB;1
CO0700;3;CO0700;COLZA;SUM;CONV;1.15
CO0469;1.7;CO0469;COLZA AB;SUM;AB;1.15
CO0900;3;CO0900;FEVEROLE;SUM;CONV;1
CO0476;2;CO0476;FEVEROLE AB;SUM;AB;1
CDC;0.6;CO0490;GRAINE DE CHIA AB;AUT;AB;1
CO0490;0.6;CO0490;GRAINE DE CHIA AB;AUT;AB;1
952;1;CO0486;HARICOT BLANC AB;AUT;AB;1
CO0486;1;CO0486;HARICOT BLANC AB;AUT;AB;1
CO0497;1;CO0497;LENTILLE ROUGE AB;SUM;AB;1.15
CO0471;1;CO0471;LENTILLE AB;AUT;AB;1.15
ME080;1;ME080;Lentille Verte/Cameline AB;SUM;AB;1.15
84;1;CO0902;LENTILLE;SUM;CONV;1.15
CO0715;1.8;CO0715;LIN;SUM;CONV;1.15
CO0478;1.5;CO0478;LIN AB;SUM;AB;1.15
CO0434;1.5;CO0434;VESCE AB;AUT;AB;1
9;1.8;CO0715;LIN;SUM;CONV;1.15
CO0901;3;CO0901;LUPIN;SUM;CONV;1
CO0428;1.5;CO0428;LUPIN AB;SUM;AB;1
