CODE_SITE;NOM_SITE;SECTEUR
D090;ADH BORDEVAIRE;LE PONTHIOUX
D150;ADH EARL ARNAULT;LE PONTHIOUX
D084;ADH FRISSONNET;LE BOUCHAGE
D098;ADH ROUDIER;ST GENIS DE SAINTONGE
D092;ADH SCEA MOUNIER;LE PONTHIOUX
D097;ADH SECHAGE BILLEROT;CHATILLON
D094;ADH SECHAGE GUIONNET;CHALAIS
D154;ADH VERNOUX;TONNAY CHARENTE
D066;AGRI SERVICE CHAMPAGNAC;CHALAIS
D262;ALTERNAGRO chez Océalia;EXPLOITATION
D524;ANNESSE & BEAULIEU;CHALAIS
D107;ARCHIAC;JARNAC CHARENTE
D700;ARNAC LA POSTE;BELLAC
D100;ARTHENAC;GUIMPS
D624;ASNOIS;LE BOUCHAGE
D647;AUBIGNY;CHATILLON
D712;AUBUSSON;PARSAC
D020;AUGE;VERTEUIL
D402;AULNAY;LE PONTHIOUX
D019;AUNAC;VERTEUIL
D713;AUZANCES;PARSAC
D202;BAIGNES;GUIMPS
D404;BEAUVAIS;TONNAY CHARENTE
D654;BEAUVOIR;LE PONTHIOUX
D714;BELLAC;BELLAC
D605;BERNAC;VERTEUIL
D405;BERNAY;TONNAY CHARENTE
D063;BERNEUIL;CHALAIS
D701;BESSINES;BELLAC
D702;BESSINES Silo new;BELLAC
D021;BIOUSSAC;VERTEUIL
D503;BOIS DE VARS;LA ROCHEFOUCAULD
D715;BONNAT;PARSAC
D032;BONNES;CHALAIS
D440;BORDS;TONNAY CHARENTE
D513;BOUEX;LA ROCHEFOUCAULD
D716;BOURGANEUF;PARSAC
D717;BOUSSAC;PARSAC
D462;BREUILLET;TONNAY CHARENTE
D009;BRIE;LA ROCHEFOUCAULD
D119;BRIZAMBOURG;TONNAY CHARENTE
D001;BROSSAC;CHALAIS
D657;BRULAIN;LE PONTHIOUX
D742;BUDELIERES;PARSAC
D607;CENTRAL Civray;EXPLOITATION
D518;CHABANAIS;LE BOUCHAGE
D013;CHALAIS;CHALAIS
D157;CHAMBON;TONNAY CHARENTE
D621;CHAMPAGNE ST-HILAIRE;ST MARTIN L ARS
D610;CHAMPAGNE-LE-SEC;LE PONTHIOUX
D517;CHAMPAGNE-MOUTON;LE BOUCHAGE
D201;CHAMPAGNOLLES;ST GENIS DE SAINTONGE
D642;CHAMPDENIERS;CHATILLON
D128;CHANIERS;JARNAC CHARENTE
D615;CHAPELLE-BATON;LE BOUCHAGE
D026;CHARMANT SILO;LA ROCHEFOUCAULD
D051;CHARME;VERTEUIL
D602;CHARROUX;LE BOUCHAGE
D519;CHASSENEUIL SUR BONNIEURE;LE BOUCHAGE
D034;CHATEAUNEUF;JARNAC CHARENTE
D719;CHATEAUNEUF LA FORET;ST LEONARD
D641;CHATILLON;CHATILLON
D067;CHAUFFOUR;VERTEUIL
D052;CHAZELLES;LA ROCHEFOUCAULD
D666;CHEF-BOUTONNE;LE PONTHIOUX
D720;CHENERAILLES;PARSAC
D510;CHERVAL;CHALAIS
D631;CHIVES;LE PONTHIOUX
D618;CHIZE;LE PONTHIOUX
D601;CIVRAY;LE BOUCHAGE
D011;CLAIX;LA ROCHEFOUCAULD
D520;CONFOLENS;LE BOUCHAGE
D460;CORME ECLUSE;TONNAY CHARENTE
D456;CORME ROYAL;TONNAY CHARENTE
D626;COUHE;ST MARTIN L ARS
D649;COULON;CHATILLON
D667;COUTURE;LE PONTHIOUX
D222;COZES;TONNAY CHARENTE
D703;DUN LE PALESTEL;PARSAC
D653;ECHIRE;CHATILLON
D672;EPANNES;LE PONTHIOUX
D609;EPANVILLIERS;LE PONTHIOUX
D704;EPAROU;BELLAC
D721;EVAUX;PARSAC
D053;EXIDEUIL;LE BOUCHAGE
D504;FEUILLADE;CHALAIS
D723;FLAVIGNAC;ST LEONARD
D102;FONTAINES;GUIMPS
D673;FORS;LE PONTHIOUX
D002;FOUQUEBRUNE;LA ROCHEFOUCAULD
D651;FRONTENAY;LE PONTHIOUX
D040;GENAC;JARNAC CHARENTE
D616;GENOUILLE;LE BOUCHAGE
D110;GERMIGNAC;ST GENIS DE SAINTONGE
D677;GOUEX;ST MARTIN L ARS
D706;GRAND BOURG;PARSAC
D310;GRENIER DU ROY;EXPLOITATION
D210;GUIMPS;GUIMPS
D718;interdit D718;ST LEONARD
D737;interdit D737;ST LEONARD
D302;INVIVO BLAYE;EXPLOITATION
D705;JANAILHAC;ST LEONARD
D003;JARNAC CHARENTE;JARNAC CHARENTE
D410;JARNAC CHGNE BETON;ST GENIS DE SAINTONGE
D111;JARNAC CHGNE METAL;ST GENIS DE SAINTONGE
