CODE_SITE;NOM_SITE;SECTEUR;CODE_PRODUIT_STOCKAGE;QTE_PREV_EQ_BLE;CODE_PRODUIT;TRANSFERT_ENTRANT;TRANSFERT_SORTANT;CAPACITE;ECART;CODE_SITE_ORIGINE;QUANTITE_A_TRANSFERER;DEST_T1;DEST_T1_NOM_SITE;COUT_T1;QTE_T1
D107;ARCHIAC;JARNAC CHARENTE;CO0700;36.7826;CO0700;789.0;40.0;11800.0;-11728.4348;D107;-10974.2174;D102;FONTAINES;148.0;40
D404;BEAUVAIS;TONNAY CHARENTE;CO0200;203.6;CO0200;142.0;176.0;4400.0;-4020.4;D404;-4054.4;D632;MONS;538.56;176
D605;BERNAC;VERTEUIL;CO0700;700.2261;CO0700;584.0;38.0;22200.0;-21466.7304;D605;-20915.7739;D061;UCAP;130.34;38
D405;BERNAY;TONNAY CHARENTE;CO0200;144.0;CO0200;43.0;137.0;6410.0;-6129.0;D405;-6223.0;D442;TONNAY CHARENTE SILO COOP;619.24;137
D702;BESSINES Silo new;BELLAC;CO0100;206.5;CO0100;73.0;514.0;111250.0;-110529.5;D702;-110970.5;D703;DUN LE PALESTEL;2672.8;514
D440;BORDS;TONNAY CHARENTE;CO0100;705.1444;CO0100;931.0;831.0;21150.0;-19613.8556;D440;-19513.8556;D300;SICA LA PALLICE;5733.9;831
D201;CHAMPAGNOLLES;ST GENIS DE SAINTONGE;CO0700;341.5304;CO0700;3095.0;1113.0;7980.0;-6670.6435;D201;-4543.4696;D303;SILOS D'AQUITAINE;10284.12;1113
D641;CHATILLON;CHATILLON;CO0700;410.3217;CO0700;337.0;271.0;28550.0;-27904.0261;D641;-27802.6783;D314;OCERAIL;1596.19;271
D632;MONS;VERTEUIL;CO0100;3981.5206;CO0100;2735.0;1119.0;134960.0;-129859.4794;D632;-128243.4794;D631;CHIVES;3838.17;1119
D710;PARSAC;PARSAC;CO0502;6.6667;CO0502;6.0;20.0;1500.0;-1480.0;D710;-1487.3333;D707;LIMOGES Silo;226.2;20
D008;ROUILLAC I;JARNAC CHARENTE;CO0700;379.9043;CO0700;375.0;53.0;7250.0;-6824.0087;D008;-6495.0957;D022;LE GOND PONTOUVRE;224.72;53
D628;VIVONNE;ST MARTIN L ARS;CO0100;2209.3907;CO0100;312.0;126.0;114200.0;-111864.6093;D628;-111678.6093;D061;UCAP;655.2;126
